"freq,spdepm,spscheme,spdepb,sex,unit,geo\TIME_PERIOD",2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,NL",795700 ,775500 ,779300 ,767800 ,768200 ,768100 ,771800 ,777600 ,787600 ,789800 ,801500 ,813100 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,NO",309887 ,305886 ,311875 ,314748 ,318244 ,325875 ,339245 ,352197 ,357563 ,390528 b,393875 ,396397 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,PL",1472030 ,1425955 ,1366245 ,1302401 ,1221286 ,1184215 ,1093729 ,1044228 ,1004448 ,1013621 ,964111 ,893308 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,PT",370619 ,360401 ,348052 ,339350 ,329054 ,317697 ,251956 ,259264 ,249314 ,240010 ,234702 ,224791 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,RO",704623 e,658041 ,628097 ,590502 ,546995 ,494396 ,462257 ,430484 ,384447 ,367816 ,343356 ,391895 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,RS",131462 ,122898 ,112017 ,109973 ,101373 ,100572 ,96140 ,87746 ,83696 ,82984 ,73816 ,72566 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,SE",388668 ,373551 ,364112 ,353733 ,339416 ,320768 ,299610 ,282807 ,269617 ,256926 ,255666 p,268374 p
"A,TOTAL,TOTAL,DIS_TOT,T,PER,SI",36100 ,35033 ,33528 ,31697 ,29934 ,27170 ,25305 ,23821 ,23707 ,21870 ,20589 ,19474 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,SK",240496 ,245679 ,248717 ,251697 ,253856 ,256348 ,261947 ,256376 ,299059 ,294841 ,293743 ,292582 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,TR",709826 ,819324 ,805993 ,831437 ,839652 ,847075 ,856446 ,864433 ,852943 ,853647 ,858178 ,859479 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,UK",2107530 e,2116120 e,2182960 ,2277583 p,2459710 p,2504593 p,2724103 p,: ,: ,: ,: ,: 
"A,TOTAL,TOTAL,DIS_TOT,T,PER,XK",: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,32043 p,33379 p
"A,TOTAL,TOTAL,ERRC,T,PER,BE",: ,: ,: ,: ,: ,: ,72 ,77 ,88 ,90 ,94 ,134 
"A,TOTAL,TOTAL,ERRC,T,PER,BG",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,: ,: 
"A,TOTAL,TOTAL,ERRC,T,PER,CH",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
"A,TOTAL,TOTAL,ERRC,T,PER,CY",6845 ,6666 ,6274 ,5946 ,5549 ,5129 ,4798 ,4548 ,4246 ,3980 ,3820 ,3622 
"A,TOTAL,TOTAL,ERRC,T,PER,CZ",2798 ,2647 ,2504 ,2345 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
"A,TOTAL,TOTAL,ERRC,T,PER,DE",1459882 e,1499558 e,1557018 e,1570443 e,1600340 e,1617555 e,1614888 e,1615874 e,1616846 e,1606144 e,1584657 e,1554068 e
"A,TOTAL,TOTAL,ERRC,T,PER,DK",242782 ,233461 ,224544 ,216459 ,210360 ,206077 ,204209 ,211641 ,227888 ,235215 ,251953 ,265615 
"A,TOTAL,TOTAL,ERRC,T,PER,EA20",1553911 p,1590327 e,1644039 e,1653560 e,1678786 e,1692844 e,1689908 e,1690290 e,1686958 e,1671958 e,1646636 e,1613196 e
